experiment,layers,neurons,dropout_rate,activation,timesteps,batch_size,epochs,mae_blind,rmse_blind,loss,mae,rmse,loss,mae,rmse,train_time
42,1,64,0.0,relu,14,30,50,0.1692529171705246,0.1952509731054306,0.03725922480225563,0.024681056539217632,0.038130078464746475,[[0.22392794]],[[0.14833315]],[[0.22916177]],24.395471572875977
43,1,64,0.0,relu,21,10,50,0.17462407052516937,0.202340766787529,0.04102086275815964,0.027323908482988674,0.040770103534062706,[[0.24653539]],[[0.16421669]],[[0.24502832]],48.36508512496948
44,1,64,0.0,relu,21,20,50,0.20679646730422974,0.2289443016052246,0.043950684989492096,0.030105266099174816,0.04368695057928562,[[0.26414362]],[[0.18093265]],[[0.26255857]],31.125916004180908
45,1,64,0.0,relu,21,30,50,0.17249715328216553,0.1993834525346756,0.03937911925216516,0.025036994988719623,0.039189413810769715,[[0.23666851]],[[0.15047234]],[[0.23552838]],24.915039539337158
46,1,64,0.0,tanh,7,10,50,0.17082826793193817,0.19647888839244843,0.04207682485381762,0.030325595289468765,0.04274628249307474,[[0.25288172]],[[0.18225683]],[[0.25690516]],48.68448877334595
47,1,64,0.0,tanh,7,20,50,0.17725402116775513,0.20053167641162872,0.03873148436347643,0.026356621955831844,0.03943870092431704,[[0.23277622]],[[0.1584033]],[[0.23702659]],33.21465063095093
48,1,64,0.0,tanh,7,30,50,0.16341103613376617,0.18914775550365448,0.0372875090688467,0.024708187207579613,0.038024839013814926,[[0.22409793]],[[0.14849621]],[[0.22852928]],25.18171763420105
49,1,64,0.0,tanh,14,10,50,0.17203712463378906,0.19859521090984344,0.03866618312895298,0.02700911896924178,0.03943267340461413,[[0.23238376]],[[0.16232481]],[[0.23699037]],47.94059157371521
50,1,64,0.0,tanh,14,20,50,0.17768080532550812,0.20385141670703888,0.03868313506245613,0.026451210180918377,0.039470801750818886,[[0.23248564]],[[0.15897177]],[[0.23721952]],34.84300708770752
51,1,64,0.0,tanh,14,30,50,0.17105883359909058,0.19648873805999756,0.0373617447912693,0.02485027847190698,0.03824091888964176,[[0.22454409]],[[0.14935017]],[[0.22982792]],25.37302827835083
52,1,64,0.0,tanh,21,10,50,0.17055867612361908,0.198185995221138,0.040757435684402786,0.027236621206005413,0.04047757635513941,[[0.24495219]],[[0.16369209]],[[0.24327023]],45.09058237075806
53,1,64,0.0,tanh,21,20,50,0.17721456289291382,0.2030022293329239,0.04006772053738435,0.025957302500804264,0.039858476569255195,[[0.240807]],[[0.15600339]],[[0.23954944]],37.95389223098755
54,1,64,0.0,tanh,21,30,50,0.1737598031759262,0.2005344182252884,0.03940401040017605,0.02507097211976846,0.0392091969648997,[[0.2368181]],[[0.15067654]],[[0.23564727]],24.7582049369812
55,1,64,0.5,relu,7,10,50,0.1545184999704361,0.1808878630399704,0.0404092421134313,0.028991518542170525,0.04096660763025284,[[0.24285955]],[[0.17423903]],[[0.24620931]],39.07282066345215
56,1,64,0.5,relu,7,20,50,0.1514381766319275,0.17703457176685333,0.03974763738612334,0.028192691504955292,0.04027988140781721,[[0.2388833]],[[0.16943808]],[[0.24208209]],30.180098056793213
57,1,64,0.5,relu,7,30,50,0.1534441113471985,0.17680995166301727,0.04172331839799881,0.03060896322131157,0.042186749478181206,[[0.25075714]],[[0.18395987]],[[0.25354236]],24.914554595947266
58,1,64,0.5,relu,14,10,50,0.16117925941944122,0.18687701225280762,0.04166507224241892,0.030372316638628643,0.04225857059160868,[[0.25040708]],[[0.18253762]],[[0.25397401]],47.8508505821228
59,1,64,0.5,relu,14,20,50,0.16055549681186676,0.18705563247203827,0.03930692126353582,0.027389080574115116,0.04003407433629036,[[0.2362346]],[[0.16460837]],[[0.24060479]],27.530176877975464
60,1,64,0.5,relu,14,30,50,0.16932453215122223,0.19260002672672272,0.042152306685845055,0.031017920623222988,0.042792306592067085,[[0.25333536]],[[0.1864177]],[[0.25718176]],24.03253984451294
61,1,64,0.5,relu,21,10,50,0.1668710559606552,0.19388942420482635,0.043028666327397026,0.029968030129869778,0.042654519279797874,[[0.25860228]],[[0.18010786]],[[0.25635366]],40.684428691864014
62,1,64,0.5,relu,21,20,50,0.16750134527683258,0.19494521617889404,0.04136943817138672,0.0279466367016236,0.041060697908202805,[[0.24863032]],[[0.16795929]],[[0.24677479]],29.01672887802124
63,1,64,0.5,relu,21,30,50,0.1702921986579895,0.19611482322216034,0.04344883685310682,0.0305216150979201,0.04304320613543192,[[0.26112751]],[[0.18343491]],[[0.25868967]],24.758641719818115
64,1,64,0.5,tanh,7,10,50,0.1813647300004959,0.20632000267505646,0.040395655979712806,0.028684601187705994,0.040977753698825836,[[0.24277789]],[[0.17239445]],[[0.2462763]],41.75842094421387
65,1,64,0.5,tanh,7,20,50,0.17944276332855225,0.20152240991592407,0.039786974589029946,0.02747122012078762,0.040462784469127655,[[0.23911972]],[[0.16510203]],[[0.24318133]],32.861088037490845
66,1,64,0.5,tanh,7,30,50,0.20778602361679077,0.23299658298492432,0.04250327621897062,0.03057125148673852,0.04312291368842125,[[0.25544469]],[[0.18373322]],[[0.25916871]],28.12814974784851
67,1,64,0.5,tanh,14,10,50,0.18292300403118134,0.20697404444217682,0.04099610013266405,0.02914758026599884,0.04169770454367002,[[0.24638656]],[[0.17517696]],[[0.2506032]],53.350021839141846
68,1,64,0.5,tanh,14,20,50,0.16246174275875092,0.18906404078006744,0.03807285179694494,0.026055263976256054,0.038876935839653015,[[0.22881784]],[[0.15659214]],[[0.23365038]],28.092050313949585
69,1,64,0.5,tanh,14,30,50,0.19550149142742157,0.21721585094928741,0.04105811441938082,0.028807176277041435,0.041838400065898895,[[0.24675927]],[[0.17313113]],[[0.25144878]],25.085426092147827
